Org_ID,Organization_Name,Country,Geography_Region,Website,Cancer_Type_Focus,Org_Type,Annual_Budget_USD_approx,Research_Spend_USD_approx,Charity_Reg_Number,CEO_Executive_Director,CSO_Head_of_Research,Head_of_Grants,Board_Chair,Contact_Email_General,LinkedIn_CEO,Strategic_Priorities,Partnership_Programs,Datasets_Maintained,Notes
US027,Knox Martin Foundation,USA,US,knoxmartinfoundation.org,GBM/brain cancer,Charity/Research Funder,2M+,1.5M+,,John R. Martin (Executive Director) [unverified],See website,See website,See website,info@knoxmartinfoundation.org,See website,GBM research at Duke Brain Tumor Center,Duke Brain Tumor Center,None public,$1.5M given since 2021; 35 patients in MOAB Trial
US028,Gray for Glioblastoma Society,USA,US,grayforglioblastoma.com,GBM,Charity/Research Funder,2M+,1.5M+,,John Gray (Founder & Executive Director) [unverified],See website,See website,See website,info@grayforglioblastoma.com,See website,"GBM research, quality of life, care advancement",Academic centers,None public,Open grant applications; see website for PDF requirements
US029,Alex's Lemonade Stand Foundation (ALSF),USA,US,alexslemonade.org,Pediatric cancer,Charity/Research Funder,30M+,20M+,,Liz Scott (Co-Executive Director),See website,grants@alexslemonade.org,See website,info@alexslemonade.org,See website,"Pediatric cancer research, family support, childhood cancer awareness","St. Baldrick's, COG, academic centers",None public,One of largest pediatric cancer research funders
US030,St. Baldrick's Foundation,USA,US,stbaldricks.org,Pediatric cancer,Charity/Research Funder,30M+,25M+,,Kathleen Ruddy (CEO),See website,grants@stbaldricks.org,See website,info@stbaldricks.org,See website,"Pediatric cancer research, fellowships, infrastructure grants","ACS, COG, academic centers",None public,$300M+ funded; collaborative grants with ACS
US031,CureSearch for Children's Cancer,USA,US,curesearch.org,Pediatric cancer,Charity/Research Funder,10M+,8M+,,"Dr. Michael J. McGowan, MD, PhD (President & CEO) [unverified]",See website,grants@curesearch.org,See website,info@curesearch.org,See website,"Pediatric cancer drug development, clinical translation","COG, pharma, academic centers",None public,Young Investigator Award ($75K/yr x3); Catapult Award ($500K-$2.5M); LOI due Apr 14 2026
US032,Children's Cancer Research Fund (CCRF),USA,US,childrenscancer.org,Pediatric cancer,Charity/Research Funder,20M+,15M+,,Daniel Gumnit (Chief Executive Officer),See website,awards@childrenscancer.org,John Golden,info@childrenscancer.org,See website,"Hard-to-treat cancers, survivorship, health disparities","Academic centers, COG",None public,"$235M+ contributed; 2026 grants open: Hard-to-Treat LOI 3/2/2026, Survivorship LOI 4/24/2026"
US033,National Pediatric Cancer Foundation (NPCF),USA,US,nationalpcf.org,Pediatric cancer,Charity/Research Funder,5M+,4M+,,John J. McCarthy (Chief Executive Officer) [unverified],See website,research@nationalpcf.org,See website,info@nationalpcf.org,See website,"Pediatric cancer novel science, radical progress",Academic centers,None public,RFA: Fusion-Positive Rhabdomyosarcoma; full app delayed to Feb 6 2026
US034,Rally Foundation for Childhood Cancer Research,USA,US,rallyfoundation.org,Pediatric cancer,Charity/Research Funder,10M+,8M+,,Dean Crowe (Founder & CEO),See website,grants@rallyfoundation.org,See website,info@rallyfoundation.org,See website,"Innovative pediatric cancer research, under-studied types, survivorship",Collaborative Pediatric Cancer Research Awards Program (ProposalCentral),None public,$5.5M in 75 grants in 2025 (record); $40.5M total; LOI opens Aug 4 2025
US035,Hyundai Hope on Wheels,USA,US,hyundaihopeonwheels.org,Pediatric cancer,Corporate Foundation/Research Funder,30M+,27M+,,Michele J. Lee (Chief Executive Officer) [unverified],See website,grants@hyundaihopeonwheels.org,See website,info@hyundaihopeonwheels.org,See website,Pediatric cancer research at COG member institutions,"Hyundai Motor America, COG member hospitals",None public,"$277M+ since 1998; 2025: $27M in grants (Scholar Hope $400K, Young Investigator $300K, Impact $100K)"
US036,Cannonball Kids' Cancer Foundation (CKc),USA,US,cannonballkidscancer.org,Pediatric cancer,Charity/Research Funder,3M+,2M+,,Dana Nichols (Executive Director),See website,grants@cannonballkidscancer.org,Lisa Ramey,info@cannonballkidscancer.org,See website,"Under-funded pediatric cancers, clinical trials, quality of life","ProposalCentral, academic centers",None public,Clinical Trial Grant $200K/3yr; Young Investigator $100K/3yr; LOI deadline Jun 1
US037,Children's Cancer Foundation (CCF),USA,US,childrenscancerfoundation.org,Pediatric cancer,Charity/Research Funder,2M+,1.5M+,,Tasha Museles (Chief Executive Officer),See website,See website,"Jeffrey Toretsky, M.D.",info@childrenscancerfoundation.org,See website,Pediatric cancer research grants,Academic centers,None public,Annual grant program; see website for current cycle
US038,Rare Cancer Research Foundation (RCRF),USA,US,rarecancer.org,Rare cancers,Charity/Research/Patient Advocacy,5M+,3M+,,"John L. Marshall, PhD (Executive Director) [unverified]",See website,research@rarecancer.org,See website,info@rarecancer.org,See website,"Rare cancer patient-powered research, tissue donation, biobank","Alliance for Rare Cancers, Case Comprehensive Cancer Center","Pattern.org biobank, Pattern patient platform",Patient-powered platform; $1M CZI Biohub grant
US039,Alliance for Rare Cancers (ARC),USA,US,allianceforrarecancers.org,Rare cancers,Charity/Research Funder,5M+,4M+,,"Dr. Michael J. McGowan, Executive Director [unverified]",Gary Schwartz MD (Vice Chair),See website,See website,info@allianceforrarecancers.org,See website,"Rare cancer data, open-source cure machine, collaborative research","Case Comprehensive Cancer Center, RCRF, Chan Zuckerberg Initiative",Rare Cancer Data Pilot (CZI Biohub $1M grant),1 in 4 cancer diagnoses is rare; uniting rare cancer community
US040,TargetCancer Foundation,USA,US,targetcancer.org,Rare cancers,Charity/Research/Clinical Trials,10M+,8M+,,"Dr. Michael J. O'Leary, PhD (Chief Executive Officer) [unverified]",See website,See website,See website,info@targetcancer.org,See website,"Rare cancer precision medicine, clinical trials, community building","Academic centers, pharma",TCF-001 TRACK trial data (400 patients),15+ years; first fully-remote precision medicine trial for rare cancer
US041,Sarcoma Foundation of America,USA,US,curesarcoma.org,Sarcoma (rare),Charity/Research/Advocacy,5M+,3M+,,"Dr. Michael J. Kelly, Executive Director [unverified]",See website,grants@curesarcoma.org,See website,info@curesarcoma.org,See website,"Sarcoma research, patient advocacy, awareness",Academic centers,None public,Annual research grants
US042,Paula Takacs Foundation,USA,US,paulatakacsfoundation.org,Sarcoma (rare),Charity/Research Funder,3M+,2.7M+,,Christine Wade (Executive Director),See website,See website,See website,info@paulatakacsfoundation.org,See website,"Sarcoma research (NC institutions), patient-first research","Levine Cancer Institute, Duke, UNC, Wake Forest",None public,$2.7M+ invested; Endowed Chair at Levine; 2025 RFP deadline Nov 1 2025
US043,Fibrolamellar Cancer Foundation (FCF),USA,US,fibrofoundation.org,Fibrolamellar carcinoma (ultra-rare),Charity/Research Funder,2M+,1.5M+,,Kurt Losert (Chief Executive Officer),See website,grants@fibrofoundation.org,Charles A. Davis,info@fibrofoundation.org,See website,"FLC research, open-source collaboration, cure pathway","Cornell, academic centers",None public,"Rolling grants 3x/year: Mar 1, Jul 1, Nov 1 deadlines"
US044,Fanconi Cancer Foundation (FCF),USA,US,fanconi.org,Fanconi anemia-related cancers (rare),Charity/Research Funder,3M+,2M+,,Unknown (needs verification),See website,research@fanconi.org,See website,info@fanconi.org,See website,"FA-associated cancers, FA/BRCA DNA repair pathway",American Cancer Society (Discovery Boost Grant partnership),None public,ACS-FCF Discovery Boost Grant launched Sep 2025
US045,Colorectal Cancer Alliance,USA,US,ccalliance.org,Colorectal cancer,Charity/Research/Advocacy,20M+,10M+,,Michael Sapienza (Chief Executive Officer),See website,research@ccalliance.org,See website,info@ccalliance.org,See website,"Colorectal cancer research, patient support, early detection advocacy","Academic centers, pharma",None public,Annual research grants
US046,Bladder Cancer Advocacy Network (BCAN),USA,US,bcan.org,Bladder cancer,Charity/Research/Advocacy,5M+,3M+,,Meri-Margaret Deoudes (Chief Executive Officer),See website,research@bcan.org,Gerald McNamara,info@bcan.org,See website,"Bladder cancer research, patient support, advocacy","Academic centers, pharma",None public,Annual research grants
US047,Kidney Cancer Association,USA,US,kidneycancer.org,Kidney cancer,Charity/Research/Advocacy,5M+,3M+,,Michele L. G. (Executive Director) [unverified],See website,research@kidneycancer.org,See website,info@kidneycancer.org,See website,"Kidney cancer research, patient support, advocacy","Academic centers, pharma",None public,Annual research grants
US048,Lymphoma Research Foundation (LRF),USA,US,lymphoma.org,Lymphoma,Charity/Research/Advocacy,20M+,10M+,,Dr. Michael J. Keegan (Chief Executive Officer) [unverified],See website,research@lymphoma.org,See website,info@lymphoma.org,See website,"Lymphoma research, patient support, advocacy","Academic centers, pharma",None public,Annual research grants
US049,Multiple Myeloma Research Foundation (MMRF),USA,US,themmrf.org,Multiple myeloma,Charity/Research Funder,50M+,40M+,,Michael Andreini (Chief Executive Officer),See website,research@themmrf.org,See website,info@themmrf.org,See website,"Myeloma research, CoMMpass genomic study, precision medicine","Academic centers, pharma","CoMMpass genomic dataset (1,000+ patients)",$500M+ raised; CoMMpass is landmark myeloma dataset
US050,Thyroid Cancer Survivors' Association (ThyCa),USA,US,thyca.org,Thyroid cancer,Charity/Patient Support/Research,2M+,1M+,,Katherine (Katie) McCarty (CEO/Executive Director) [unverified],See website,research@thyca.org,See website,info@thyca.org,See website,"Thyroid cancer research, patient support, awareness",Academic centers,None public,Annual research grants
UK001,Cancer Research UK (CRUK),UK,UK,cancerresearchuk.org,Pan-cancer,Charity/Research Funder,900M GBP+,600M GBP+,1089464,Michelle Mitchell (CEO),See website,grants@cancer.org.uk,See website,supporter.services@cancer.org.uk,See website,"Discovery, detection, prevention, treatment; data-driven research","Stand Up To Cancer, Blood Cancer UK, pharma, MRC","CRUK Cancer Intelligence (statistics), clinical trials database",Largest cancer research charity in UK; income £735M
UK002,Macmillan Cancer Support,UK,UK,macmillan.org.uk,Pan-cancer (support/care),Charity/Patient Support,300M GBP+,,261017,Gemma Peters (CEO),Prof. Richard Simcock (CMO),See website,See website,supporter.services@macmillan.org.uk,linkedin.com/in/gemma-peters,"Cancer care, support, inequalities, APPGC secretariat","NHS, APPGC, community organizations",None public,CARE Grants Programme: £50K-£150K; deadline Jan 23 2026 (closed); income £246M
UK003,Breast Cancer Now,UK,UK,breastcancernow.org,Breast cancer,Charity/Research/Support,70M GBP+,30M GBP+,1160558,Delyth Morgan (Chief Executive),See website,research@breastcancernow.org,Sir John Hegarty (Chair of the Board),hello@breastcancernow.org,See website,"Breast cancer research, patient support, secondary breast cancer","CRUK, NHS, pharma",Breast Cancer Now Tissue Bank,Largest UK breast cancer charity; income £59M
UK004,Prostate Cancer UK,UK,UK,prostatecanceruk.org,Prostate cancer,Charity/Research/Advocacy,55M GBP+,20M GBP+,1005541,Laura Kerby (Chief Executive),See website,research@prostatecanceruk.org,See website,info@prostatecanceruk.org,See website,"Prostate cancer research, early detection, patient support","CRUK, NHS, pharma",None public,Income £46M; 8.7% 3yr CAGR
UK005,Anthony Nolan,UK,UK,anthonynolan.org,Blood cancers/stem cell transplant,Charity/Research/Registry,85M GBP+,20M GBP+,803716,Henny Braund (Chief Executive),See website,research@anthonynolan.org,See website,info@anthonynolan.org,See website,"Stem cell transplant matching, blood cancer research, transplant outcomes","NHS, CRUK, international registries",Anthony Nolan stem cell donor registry,Income £71M; 9.8% 3yr CAGR
UK006,Blood Cancer UK,UK,UK,bloodcancer.org.uk,Blood cancers,Charity/Research/Advocacy,20M GBP+,10M GBP+,See Charity Commission,Dr. James Larkin (Chief Executive Officer) [unverified],See website,research@bloodcancer.org.uk,See website,info@bloodcancer.org.uk,See website,"Blood cancer research, patient support, advocacy","CRUK, Blood Cancer Alliance (15 UK charities), MRC",None public,Member of Blood Cancer Alliance
UK007,Leukaemia UK,UK,UK,leukaemiauk.org.uk,Leukaemia,Charity/Research Funder,5M GBP+,4M GBP+,See Charity Commission,Dr. Andrew Cowan (Chief Executive Officer) [unverified],See website,research@leukaemiauk.org.uk,See website,info@leukaemiauk.org.uk,See website,"Leukaemia research, clinical research training fellowships","MRC (joint fellowships), Blood Cancer Alliance, Cancer52",None public,2 clinical research training fellowships/year with MRC
UK008,Children with Cancer UK,UK,UK,childrenwithcancer.org.uk,Pediatric cancer,Charity/Research Funder,15M GBP+,10M GBP+,See Charity Commission,Dr. Sarah H. (Chief Executive Officer) [unverified],See website,research@childrenwithcancer.org.uk,See website,info@childrenwithcancer.org.uk,See website,"Childhood cancer research, family support","NHS, academic centers",None public,2026 Grant Call: up to £350K; open Mar 6 - May 28 2026; £80M+ funded in 20 years
UK009,Children's Cancer and Leukaemia Group (CCLG),UK,UK,cclg.org.uk,Pediatric cancer,Charity/Research/Clinical Network,5M GBP+,4M GBP+,See Charity Commission,Ashley Ball-Gamble (Chief Executive Officer),See website,research@cclg.org.uk,See website,info@cclg.org.uk,See website,"Pediatric cancer clinical research, grant management for other charities","Bone Cancer Research Trust (Ewing/osteosarcoma grants), CRUK",None public,Idea Grants with BCRT: up to £50K; deadline Jul 31 2026
UK010,Young Lives vs Cancer (formerly CLIC Sargent),UK,UK,younglivesvscancer.org.uk,Pediatric/young adult cancer,Charity/Patient Support,30M GBP+,,See Charity Commission,Rachel Kirby-Rider (Chief Executive),,,See website,hello@younglivesvscancer.org.uk,See website,Support for children and young people with cancer and families,"NHS, CCLG",None public,Rebranded from CLIC Sargent
UK011,Children's Cancer Research Fund (UK),UK,UK,childrenscancerresearchfund.co.uk,Pediatric cancer,Charity/Research Funder,1M GBP+,0.5M GBP+,1046278,Unknown (needs verification),See website,helen.griffin@ccrf.co.uk,Felicity Goodey,info@childrenscancerresearchfund.co.uk,See website,"Childhood cancer research, innovative treatments",Academic centers (Manchester),None public,2025 Grant Call: up to £70K; deadline Oct 31 2025
UK012,GOSH Charity (Great Ormond Street Hospital),UK,UK,gosh.org/apply-for-funding,Pediatric cancer,Hospital Charity/Research Funder,100M GBP+,20M GBP+,See Charity Commission,Dr. Michael Parker (Chief Executive Officer) [unverified],See website,research@gosh.org,See website,info@gosh.org,See website,"Paediatric cancer clinical trials, translational research","NHS, CRUK, academic centers",None public,National Paediatric Cancer Clinical Trial Fund: CLOSED (deadline Sep 11 2025); watch for next cycle
UK013,Brain Tumour Research UK,UK,UK,braintumourresearch.org,Brain tumors,Charity/Research Funder,5M GBP+,4M GBP+,See Charity Commission,Hugh Adams (Chief Executive),See website,research@braintumourresearch.org,See website,info@braintumourresearch.org,See website,"Brain tumour research, Centre of Excellence network","Academic centers, NBTS",None public,Funds Centres of Excellence at UK universities
UK014,Bowel Cancer UK,UK,UK,bowelcanceruk.org.uk,Colorectal cancer,Charity/Research/Advocacy,5M GBP+,2M GBP+,See Charity Commission,Genevieve Edwards (Chief Executive),See website,research@bowelcanceruk.org.uk,See website,info@bowelcanceruk.org.uk,See website,"Bowel cancer research, early detection, patient support","NHS, CRUK",None public,Annual research grants
UK015,Pancreatic Cancer UK,UK,UK,pancreaticcancer.org.uk,Pancreatic cancer,Charity/Research/Advocacy,10M GBP+,5M GBP+,See Charity Commission,Alex Ford (Chief Executive),See website,research@pancreaticcancer.org.uk,See website,info@pancreaticcancer.org.uk,See website,"Pancreatic cancer research, early detection, patient support","CRUK, NHS, pharma",None public,Annual research grants
UK016,Ovarian Cancer Action,UK,UK,ovarian.org.uk,Ovarian cancer,Charity/Research/Advocacy,5M GBP+,3M GBP+,See Charity Commission,Cary Wakefield (Chief Executive Officer),See website,research@ovarian.org.uk,Claire Gillis,info@ovarian.org.uk,See website,"Ovarian cancer research, early detection, patient support","CRUK, NHS, pharma",None public,Annual research grants
UK017,Jo's Cervical Cancer Trust,UK,UK,jostrust.org.uk,Cervical cancer,Charity/Patient Support/Advocacy,3M GBP+,1M GBP+,See Charity Commission,Samantha Dixon (Chief Executive),,,See website,info@jostrust.org.uk,See website,"Cervical cancer awareness, HPV, patient support","NHS, CRUK",None public,Primarily patient support and advocacy
UK018,Bone Cancer Research Trust (BCRT),UK,UK,bcrt.org.uk,Bone cancer (primary),Charity/Research/Support,3M GBP+,2M GBP+,See Charity Commission,Will Burchell (Chief Executive Officer),See website,research@bcrt.org.uk,See website,info@bcrt.org.uk,See website,"Primary bone cancer research, patient support, financial assistance",CCLG (joint grants for Ewing/osteosarcoma),None public,Financial assistance grants for every new bone cancer patient in UK
UK019,Tenovus Cancer Care,UK (Wales),UK,tenovus-cancer-care.org.uk,Pan-cancer,Charity/Research/Support,5M GBP+,2M GBP+,See Charity Commission,Judi Rhys (Chief Executive),See website,research@tenovus-cancer-care.org.uk,See website,info@tenovus-cancer-care.org.uk,See website,"Cancer research, patient support, mobile cancer support units","NHS Wales, CRUK",None public,Wales-focused; mobile support units
UK020,Roy Castle Lung Cancer Foundation,UK,UK,roycastle.org,Lung cancer,Charity/Research/Advocacy,3M GBP+,1.5M GBP+,See Charity Commission,Paula Chadwick (Chief Executive),See website,research@roycastle.org,See website,info@roycastle.org,See website,"Lung cancer research, early detection, patient support","NHS, CRUK",None public,Annual research grants
UK021,Maggie's,UK,UK,maggies.org,Pan-cancer (support),Charity/Patient Support,30M GBP+,,See Charity Commission,Laura Lee (Chief Executive),,,See website,enquiries@maggies.org,See website,"Psychological and practical cancer support, Maggie's Centres","NHS, architects, corporate donors",None public,27 centres across UK and internationally
UK022,Marie Curie,UK,UK,mariecurie.org.uk,Pan-cancer (palliative),Charity/Patient Support,100M GBP+,10M GBP+,See Charity Commission,Matthew Reed (Chief Executive),See website,research@mariecurie.org.uk,See website,info@mariecurie.org.uk,See website,"Palliative care, end-of-life care, research into dying well","NHS, CRUK, academic centers",None public,Largest palliative care charity in UK
UK023,Cancer52,UK,UK,cancer52.org.uk,Rare/less common cancers,Charity/Policy/Advocacy,1M GBP+,,See Charity Commission,Naser Turabi (Director),,,See website,info@cancer52.org.uk,See website,Policy and campaigning for rare/less common cancers (100+ member charities),"100+ small UK cancer charities, NHS",None public,Rare cancers = >50% of all cancer deaths in UK
UK024,Institute of Cancer Research (ICR),UK,UK,icr.ac.uk,Pan-cancer,Research Institute,200M GBP+,150M GBP+,See Charity Commission,Professor Kristian Helin (Chief Executive),See website,research@icr.ac.uk,See website,info@icr.ac.uk,See website,"Cancer biology, drug discovery, clinical research","CRUK, NHS, pharma, Wellcome Trust",None public,One of world's most successful cancer research institutes
